,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistId,collectionArtistName
0,track,song,1062085272,1196294554,1196294581,Alan Walker,Faded - EP,Faded,Faded - EP,Faded,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/faded/1196294554?i=1196294581&uo=4,https://music.apple.com/us/album/faded/1196294554?i=1196294581&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview111/v4/90/b5/01/90b501ac-78bd-a7c1-6726-8f82fe0c2b4e/mzaf_3304804784910350487.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/b8/ab/93/b8ab934a-810e-933a-135a-5901bfd94a73/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/b8/ab/93/b8ab934a-810e-933a-135a-5901bfd94a73/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/b8/ab/93/b8ab934a-810e-933a-135a-5901bfd94a73/source/100x100bb.jpg,3.99,1.29,2015-12-03T08:00:00Z,notExplicit,notExplicit,1,1,4,1,212627,USA,USD,Dance,TRUE,,
1,track,song,1062085272,944459315,944459697,Alan Walker,NCS: Uplifting,Fade,NCS: Uplifting,Fade,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/fade/944459315?i=944459697&uo=4,https://music.apple.com/us/album/fade/944459315?i=944459697&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music5/v4/36/01/58/36015857-c95b-b1d0-c6db-a51e33baf4e9/mzaf_4976681834896148108.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/a4/56/ce/a456ce33-e9bf-e338-7d4e-aaee3953f084/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/a4/56/ce/a456ce33-e9bf-e338-7d4e-aaee3953f084/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/a4/56/ce/a456ce33-e9bf-e338-7d4e-aaee3953f084/source/100x100bb.jpg,4.99,1.29,2014-11-19T12:00:00Z,notExplicit,notExplicit,1,1,16,7,264014,USA,USD,Dance,TRUE,4035426,Various Artists
2,track,song,1062085272,1300172044,1300172874,"Alan Walker, Noah Cyrus & Digital Farm Animals",All Falls Down - Single,All Falls Down,All Falls Down - Single,All Falls Down,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/all-falls-down/1300172044?i=1300172874&uo=4,https://music.apple.com/us/album/all-falls-down/1300172044?i=1300172874&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/91/84/7f/91847fd9-cc90-a7f5-22c1-884b4b056d07/mzaf_5057953337103377687.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/2e/02/92/2e0292ec-92fa-5a22-134d-e9d82c8f4614/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/2e/02/92/2e0292ec-92fa-5a22-134d-e9d82c8f4614/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music128/v4/2e/02/92/2e0292ec-92fa-5a22-134d-e9d82c8f4614/source/100x100bb.jpg,1.29,1.29,2017-10-27T12:00:00Z,notExplicit,notExplicit,1,1,1,1,199111,USA,USD,Dance,TRUE,,
3,track,song,1062085272,966367678,966367681,Alan Walker,Spectre - Single,Spectre,Spectre - Single,Spectre,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/spectre/966367678?i=966367681&uo=4,https://music.apple.com/us/album/spectre/966367678?i=966367681&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music5/v4/80/c4/74/80c4742b-3c1c-2427-89b3-9b2b7db56d73/mzaf_2197086180493043756.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music3/v4/2a/ec/bf/2aecbf0d-8172-a47f-2aa5-7db8534b66ac/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music3/v4/2a/ec/bf/2aecbf0d-8172-a47f-2aa5-7db8534b66ac/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music3/v4/2a/ec/bf/2aecbf0d-8172-a47f-2aa5-7db8534b66ac/source/100x100bb.jpg,1.29,1.29,2015-01-06T12:00:00Z,notExplicit,notExplicit,1,1,1,1,230635,USA,USD,Dance,TRUE,,
4,track,song,1062085272,1202263583,1202263655,Alan Walker,Alone - Single,Alone,Alone - Single,Alone,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/alone/1202263583?i=1202263655&uo=4,https://music.apple.com/us/album/alone/1202263583?i=1202263655&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview111/v4/b8/68/b3/b868b355-255f-1bbd-65f5-a322fc8c2e7e/mzaf_2960159876530919475.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music111/v4/ae/6c/33/ae6c3353-e3e3-c98d-e50b-91ddddd6c7af/source/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music111/v4/ae/6c/33/ae6c3353-e3e3-c98d-e50b-91ddddd6c7af/source/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music111/v4/ae/6c/33/ae6c3353-e3e3-c98d-e50b-91ddddd6c7af/source/100x100bb.jpg,1.99,1.29,2016-12-02T08:00:00Z,notExplicit,notExplicit,1,1,3,1,161200,USA,USD,Dance,TRUE,,
5,track,song,1062085272,1445140820,1445141002,"Alan Walker, K-391 & Emelie Hollow",Different World,Lily,Different World,Lily,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/lily/1445140820?i=1445141002&uo=4,https://music.apple.com/us/album/lily/1445140820?i=1445141002&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/77/2b/69/772b697e-850c-538a-30f1-1c3bc50087d6/mzaf_6579093343003032687.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/100x100bb.jpg,9.99,1.29,2018-12-14T12:00:00Z,notExplicit,notExplicit,1,1,14,4,195840,USA,USD,Dance,TRUE,,Alan Walker
6,track,song,1062085272,1445140820,1445141160,"Alan Walker, Au/Ra & Tomine Harket",Different World,Darkside,Different World,Darkside,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/darkside/1445140820?i=1445141160&uo=4,https://music.apple.com/us/album/darkside/1445140820?i=1445141160&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/2b/70/03/2b7003fc-e0c8-bc40-626b-010bf674da7c/mzaf_1674590689941126229.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/100x100bb.jpg,9.99,1.29,2018-07-27T12:00:00Z,notExplicit,notExplicit,1,1,14,11,211680,USA,USD,Dance,TRUE,,Alan Walker
7,track,song,1062085272,1414300421,1414300769,Alan Walker,Darkside (feat. Au/Ra & Tomine Harket) - Single,Darkside (feat. Au/Ra & Tomine Harket),Darkside (feat. Au/Ra & Tomine Harket) - Single,Darkside (feat. Au/Ra & Tomine Harket),https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/darkside-feat-au-ra-tomine-harket/1414300421?i=1414300769&uo=4,https://music.apple.com/us/album/darkside-feat-au-ra-tomine-harket/1414300421?i=1414300769&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/ae/e7/c6/aee7c61f-37ff-f34c-8cbe-f1193ffa28ea/mzaf_4567449219364391463.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/bb/0f/42/bb0f4221-8b91-0a0f-563e-b87990f0cbed/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/bb/0f/42/bb0f4221-8b91-0a0f-563e-b87990f0cbed/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/bb/0f/42/bb0f4221-8b91-0a0f-563e-b87990f0cbed/source/100x100bb.jpg,1.29,1.29,2018-07-27T12:00:00Z,notExplicit,notExplicit,1,1,1,1,211867,USA,USD,Dance,TRUE,,
8,track,song,1062085272,1455648995,1455648996,"Alan Walker, Sabrina Carpenter & Farruko",On My Way - Single,On My Way,On My Way - Single,On My Way,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/on-my-way/1455648995?i=1455648996&uo=4,https://music.apple.com/us/album/on-my-way/1455648995?i=1455648996&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/74/cc/ff/74ccfff0-0d72-0069-114d-9c533317c9b3/mzaf_6432956902852464443.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/0c/be/ae/0cbeae13-1115-e8af-b5a2-8d21950041fa/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/0c/be/ae/0cbeae13-1115-e8af-b5a2-8d21950041fa/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/0c/be/ae/0cbeae13-1115-e8af-b5a2-8d21950041fa/source/100x100bb.jpg,1.29,1.29,2019-03-21T12:00:00Z,notExplicit,notExplicit,1,1,1,1,193798,USA,USD,Dance,TRUE,,
9,track,song,1062085272,1277697257,1277697262,Alan Walker,The Spectre - Single,The Spectre,The Spectre - Single,The Spectre,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/the-spectre/1277697257?i=1277697262&uo=4,https://music.apple.com/us/album/the-spectre/1277697257?i=1277697262&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/2f/e8/c6/2fe8c64c-3aae-3fe0-99be-0a5e0c1e53b9/mzaf_9128458902128020247.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/95/c1/97/95c19701-7ea3-f403-3c14-cf3b773d7e28/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/95/c1/97/95c19701-7ea3-f403-3c14-cf3b773d7e28/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/95/c1/97/95c19701-7ea3-f403-3c14-cf3b773d7e28/source/100x100bb.jpg,1.29,1.29,2017-09-15T12:00:00Z,notExplicit,notExplicit,1,1,1,1,193788,USA,USD,Dance,TRUE,,
10,track,song,1062085272,1445140820,1445140836,Alan Walker & Sorana,Different World,Lost Control,Different World,Lost Control,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/lost-control/1445140820?i=1445140836&uo=4,https://music.apple.com/us/album/lost-control/1445140820?i=1445140836&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/e0/86/15/e086157f-ab62-7d42-9a24-cee363dccce6/mzaf_8354147079704550944.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/100x100bb.jpg,9.99,1.29,2018-12-14T12:00:00Z,notExplicit,notExplicit,1,1,14,2,222320,USA,USD,Dance,TRUE,,Alan Walker
11,track,song,1062085272,1196295014,1196295123,Alan Walker,Sing Me to Sleep - Single,Sing Me to Sleep,Sing Me to Sleep - Single,Sing Me to Sleep,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/sing-me-to-sleep/1196295014?i=1196295123&uo=4,https://music.apple.com/us/album/sing-me-to-sleep/1196295014?i=1196295123&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/d0/ea/6d/d0ea6d64-ab58-99e0-f1ce-0264032c9cef/mzaf_4555689902967078023.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music111/v4/e2/8e/4f/e28e4f87-e110-d59b-7dca-170a32624063/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music111/v4/e2/8e/4f/e28e4f87-e110-d59b-7dca-170a32624063/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music111/v4/e2/8e/4f/e28e4f87-e110-d59b-7dca-170a32624063/source/100x100bb.jpg,2.99,1.29,2016-06-02T07:00:00Z,notExplicit,notExplicit,1,1,3,1,189333,USA,USD,Dance,TRUE,,
12,track,song,1062085272,1069486392,1069486403,Alan Walker,NCS: The Best of 2015,Spectre,NCS: The Best of 2015,Spectre,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/spectre/1069486392?i=1069486403&uo=4,https://music.apple.com/us/album/spectre/1069486392?i=1069486403&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music69/v4/fe/19/d5/fe19d564-a61e-2aab-baf1-c736057ac525/mzaf_7665687787733865507.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music49/v4/19/85/9e/19859ea9-fb5d-4e65-20ed-0db1db2171f5/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music49/v4/19/85/9e/19859ea9-fb5d-4e65-20ed-0db1db2171f5/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music49/v4/19/85/9e/19859ea9-fb5d-4e65-20ed-0db1db2171f5/source/100x100bb.jpg,4.99,1.29,2015-01-06T12:00:00Z,notExplicit,notExplicit,1,1,17,6,230635,USA,USD,Dance,TRUE,36270,Various Artists
13,track,song,1062085272,1445140820,1445140992,Alan Walker & Julie Bergan,Different World,I Don't Wanna Go,Different World,I Don't Wanna Go,https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/i-dont-wanna-go/1445140820?i=1445140992&uo=4,https://music.apple.com/us/album/i-dont-wanna-go/1445140820?i=1445140992&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/e9/15/ed/e915edc3-a4a2-9c93-2c4c-8dff43ddc9a6/mzaf_756503257189461175.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/100x100bb.jpg,9.99,1.29,2018-12-14T12:00:00Z,notExplicit,notExplicit,1,1,14,3,161667,USA,USD,Dance,TRUE,,Alan Walker
14,track,song,1062085272,1196294554,1196294686,Alan Walker,Faded - EP,Faded,Faded - EP,Faded (Instrumental),https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/faded-instrumental/1196294554?i=1196294686&uo=4,https://music.apple.com/us/album/faded-instrumental/1196294554?i=1196294686&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview91/v4/44/6d/3b/446d3b4d-996d-7394-619f-70e753d5b46a/mzaf_9072686633176253593.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/b8/ab/93/b8ab934a-810e-933a-135a-5901bfd94a73/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/b8/ab/93/b8ab934a-810e-933a-135a-5901bfd94a73/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music122/v4/b8/ab/93/b8ab934a-810e-933a-135a-5901bfd94a73/source/100x100bb.jpg,3.99,1.29,2015-12-03T12:00:00Z,notExplicit,notExplicit,1,1,4,2,214013,USA,USD,Dance,TRUE,,
15,track,song,1062085272,1445140820,1445141142,"Alan Walker, K-391 & Sofia Carson",Different World,Different World (feat. CORSAK),Different World,Different World (feat. CORSAK),https://music.apple.com/us/artist/alan-walker/1062085272?uo=4,https://music.apple.com/us/album/different-world-feat-corsak/1445140820?i=1445141142&uo=4,https://music.apple.com/us/album/different-world-feat-corsak/1445140820?i=1445141142&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/65/3f/78/653f78c7-5384-0c65-e4a3-10e309aa91fa/mzaf_4005723062774903215.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/70/b9/34/70b93425-ced4-a05b-28a0-9c860d66cf18/source/100x100bb.jpg,9.99,1.29,2018-11-30T12:00:00Z,notExplicit,notExplicit,1,1,14,7,202907,USA,USD,Dance,TRUE,,Alan Walker
