Product name,Description,Colours,Price,Sale Price,Discount,Product Link
Nike ISPA Air Max 720,Shoe,1 Colour,"₹17,995","₹12,597",30%,https://www.nike.com/in/t/ispa-air-max-720-shoe-SwTRjK/CQ6278-001
Nike Mercurial Vapor 13 Academy Neymar Jr. TF,Artificial-Turf Football Shoe,1 Colour,"₹7,995","₹6,397",20%,https://www.nike.com/in/t/mercurial-vapor-13-academy-neymar-jr-tf-artificial-football-shoe-t3vsGg/AT7995-104
Nike P-6000,Shoe,1 Colour,"₹7,995","₹4,797",40%,https://www.nike.com/in/t/p-6000-shoe-Cf06tP/BV1021-009
Korea 2020 Stadium Away,Women's Football Shirt,1 Colour,"₹4,695","₹3,757",20%,https://www.nike.com/in/t/korea-2020-stadium-away-football-shirt-sF3QTl/CQ9157-100
Nike Sportswear,Women's Jersey Dress,2 Colours,"₹3,495","₹2,797",20%,https://www.nike.com/in/t/sportswear-jersey-dress-SqDlSL/CJ3751-010
Nike Air Max Plus,Older Kids' Shoe,1 Colour,"₹10,995","₹7,697",30%,https://www.nike.com/in/t/air-max-plus-older-shoe-qqjD4D/CV2392-001
Jordan Air Latitude 720,Women's Shoe,1 Colour,"₹15,995","₹7,997",50%,https://www.nike.com/in/t/jordan-air-latitude-720-shoe-6ZtZ7l/AV5187-001
Nike Icon Clash,Women's Seamless Light-Support Sports Bra,1 Colour,"₹3,395","₹2,717",20%,https://www.nike.com/in/t/icon-clash-seamless-light-support-sports-bra-vjNhD8/CJ0558-110
Nike Joyride Dual Run,Older Kids' Running Shoe,1 Colour,"₹7,995","₹6,397",20%,https://www.nike.com/in/t/joyride-dual-run-older-running-shoe-L5LwKS/CN9600-400
Nike Sportswear Icon Clash,Women's Satin Long Jacket,1 Colour,"₹8,995","₹7,197",20%,https://www.nike.com/in/t/sportswear-icon-clash-satin-long-jacket-Z3kRfp/CU5975-010
Nike x Olivia Kim Air Footscape,Shoe,1 Colour,"₹12,995","₹6,497",50%,https://www.nike.com/in/t/olivia-kim-air-footscape-shoe-djCRK6/CK3321-100
Zoom Freak 1,Basketball Shoe,2 Colours,"₹9,995","₹6,997",30%,https://www.nike.com/in/t/zoom-freak-1-basketball-shoe-wxn8N0/BQ5422-101
Nike Foam Force 1,Baby & Toddler Shoe,1 Colour,"₹2,995","₹2,397",20%,https://www.nike.com/in/t/foam-force-shoe-RfLWF5/AQ2442-001
Nike Air Zoom Vomero 14,Men's Running Shoe,1 Colour,"₹11,995","₹9,597",20%,https://www.nike.com/in/t/air-zoom-vomero-14-running-shoe-WtvZ3q/AH7857-009
Nike Shape,Women's High-Support Sports Bra,2 Colours,"₹3,095","₹2,477",20%,https://www.nike.com/in/t/shape-high-support-sports-bra-f72f0P/CN3719-664
Nike Yoga,Women's Cropped Hoodie (Plus Size),1 Colour,"₹3,295","₹2,637",20%,https://www.nike.com/in/t/yoga-cropped-hoodie-PFDrHZ/CU8995-664
Nike Tanjun,Women's Shoe,2 Colours,"₹4,995","₹3,997",20%,https://www.nike.com/in/t/tanjun-shoe-WyTA7xdw/812655-011
Nike x Undercover Air Max 720,Shoe,3 Colours,"₹16,995","₹10,197",40%,https://www.nike.com/in/t/undercover-air-max-720-shoe-K8VJzB/CN2408-600
Nike React Infinity Run Flyknit,Men's Running Shoe,1 Colour,"₹13,995","₹11,197",20%,https://www.nike.com/in/t/react-infinity-run-flyknit-running-shoe-ZjGHFz/CD4371-008
Korea 2020 Stadium Away,Older Kids' Football Shirt,1 Colour,"₹3,995","₹3,197",20%,https://www.nike.com/in/t/korea-2020-stadium-away-older-football-shirt-JXQxmL/CD1045-100
Jordan Max 200,Men's Shoe,1 Colour,"₹10,495","₹8,397",20%,https://www.nike.com/in/t/jordan-max-200-shoe-C2S1xN/CD6105-601
Nike Air Max 720,Older Kids' Shoe,1 Colour,"₹11,995","₹8,397",30%,https://www.nike.com/in/t/air-max-720-oider-shoe-1cfhv4/CT9635-001
Nike Free RN Flyknit 3.0 2020,Women's Running Shoe,1 Colour,"₹10,995","₹8,797",20%,https://www.nike.com/in/t/free-rn-flyknit-3-2020-running-shoe-Nn61BT/CJ0267-001
Nike Swoosh,Women's High-Neck Medium-Support Sports Bra,2 Colours,"₹2,395","₹1,917",20%,https://www.nike.com/in/t/swoosh-high-neck-support-sports-bra-KcSTST/CJ4346-623
Nike Tanjun,Older Kids' Shoe,2 Colours,"₹4,495","₹2,697",40%,https://www.nike.com/in/t/tanjun-older-shoe-xqTP3OKn/818381-408
Nike Free RN 5.0 2020,Men's Running Shoe,1 Colour,"₹7,995","₹6,397",20%,https://www.nike.com/in/t/free-rn-5-2020-running-shoe-3RTlkt/CI9921-005
Nike One Luxe,Women's Tights,1 Colour,"₹4,995","₹2,997",40%,https://www.nike.com/in/t/one-luxe-tights-2r3RgD/CJ3386-432
Nike ISPA Inflate,Jacket,1 Colour,"₹17,995","₹12,597",30%,https://www.nike.com/in/t/ispa-iate-jacket-Wrp1BJ/AO0815-100
Nike Mercurial Superfly 7 Academy TF,Artificial-Turf Football Shoe,1 Colour,"₹8,495","₹6,797",20%,https://www.nike.com/in/t/mercurial-superfly-7-academy-tf-artificial-football-shoe-HvP8zD/AT7978-906
Nike Phantom GT Club MG,Multi-Ground Football Boot,1 Colour,"₹4,995","₹3,997",20%,https://www.nike.com/in/t/phantom-gt-club-mg-multi-ground-football-boot-w8b3FB/CK8459-060
Korea 2020 Stadium Away,Men's Football Shirt,1 Colour,"₹4,695","₹3,757",20%,https://www.nike.com/in/t/korea-2020-stadium-away-football-shirt-DPgLP9/CD0713-100
Nike Air Force 1 '07 SE,Women's Shoe,1 Colour,"₹7,995","₹6,397",20%,https://www.nike.com/in/t/air-force-1-07-se-shoe-2jTpPC/CJ1647-600
Nike Yoga,Women's Cropped Hoodie,1 Colour,"₹3,295","₹2,637",20%,https://www.nike.com/in/t/yoga-cropped-hoodie-fVzQmJ/CQ8834-664
Nike DBreak-Type,Men's Shoe,1 Colour,"₹7,995","₹6,397",20%,https://www.nike.com/in/t/dbreak-type-shoe-vMxhFK/CJ1156-001
Nike Air Max 98 NRG,Men's Shoe,1 Colour,"₹15,995","₹7,997",50%,https://www.nike.com/in/t/air-max-98-nrg-shoe-54DsfG/BQ5613-001
Nike Team Hustle D 9,Baby & Toddler Shoe,1 Colour,"₹2,995","₹2,397",20%,https://www.nike.com/in/t/team-hustle-d-9-shoe-WGdlZq/AQ4226-001
Nike Shox TL Nova SP,Women's Shoe,2 Colours,"₹14,995","₹8,997",40%,https://www.nike.com/in/t/shox-tl-nova-sp-shoe-m4rp7K/CK2085-002
NikeCourt Slam,Men's Tennis Polo,1 Colour,"₹3,295","₹2,307",30%,https://www.nike.com/in/t/nikecourt-slam-tennis-polo-DsR1l7/CI9159-100
Nike Goalkeeper Match,Football Gloves,1 Colour,"₹1,795","₹1,257",30%,https://www.nike.com/in/t/goalkeeper-match-football-gloves-whlm10/GS3882-010
Nike Odyssey React,Men's Running Shoe,1 Colour,"₹11,995","₹9,637",20%,https://www.nike.com/in/t/odyssey-react-running-shoe-9dSlGS/AO9819-001
Air Jordan 11 Low,Women's Shoe,1 Colour,"₹16,995","₹13,597",20%,https://www.nike.com/in/t/air-jordan-11-low-shoe-WZLQ1c/AR5149-005
Nike Yoga Luxe,Women's Infinalon 7/8 Ribbed Leggings,2 Colours,"₹4,995","₹3,997",20%,https://www.nike.com/in/t/yoga-luxe-infinalon-7-8-ribbed-leggings-k7551H/CJ3664-010
Nike Air Max 720,Men's Shoe,1 Colour,"₹15,995","₹11,197",30%,https://www.nike.com/in/t/air-max-720-shoe-cRPWPH/CT5229-001
Nike Air Max 97,Men's Shoe,1 Colour,"₹14,995","₹8,997",40%,https://www.nike.com/in/t/air-max-97-shoe-cNRrFt/CI3708-400
Nike Zoom Gravity 2,Women's Running Shoe,1 Colour,"₹8,195","₹7,377",10%,https://www.nike.com/in/t/zoom-gravity-2-running-shoe-0Gw32G/CK2569-600
Nike Sportswear,Men's T-Shirt,1 Colour,"₹1,495","₹1,047",30%,https://www.nike.com/in/t/sportswear-t-shirt-bHgLfQ/AR4994-452
Nike Air VaporMax 2019,Older Kids' Shoe,1 Colour,"₹12,995","₹9,097",30%,https://www.nike.com/in/t/air-vapormax-2019-older-shoe-R53c2K/CT9638-001
Nike Cortez Basic SL SE,Baby and Toddler Shoe,1 Colour,"₹4,995","₹3,497",30%,https://www.nike.com/in/t/cortez-basic-sl-se-and-shoe-2jvp8C/CJ2422-400
Nike Air Max 2090,Older Kids' Shoe,1 Colour,"₹8,995","₹6,297",30%,https://www.nike.com/in/t/air-max-2090-older-shoe-qK3F2h/CJ4066-101
Nike Air Zoom Pegasus 35,Men's Running Shoe,1 Colour,"₹10,995","₹8,837",20%,https://www.nike.com/in/t/air-zoom-pegasus-35-running-shoe-DXK1Zj/942851-600
Nike Star Runner 2 Fire,Baby and Toddler Shoe,1 Colour,"₹3,495","₹2,797",20%,https://www.nike.com/in/t/star-runner-2-fire-and-shoe-STWQQ4/CW1615-001
Jordan Trunner NXT React,Men's Training Shoe,1 Colour,"₹11,995","₹10,797",10%,https://www.nike.com/in/t/jordan-trunner-nxt-react-training-shoe-l08NFM/AV1201-600
Nike Force 1 BT,Younger Kids' Shoe,1 Colour,"₹6,495","₹5,197",20%,https://www.nike.com/in/t/force-1-bt-younger-shoe-zgX6Ft/CW7439-100
Nike Revolution 5,Older Kids' Running Shoe,1 Colour,"₹3,495","₹2,097",40%,https://www.nike.com/in/t/revolution-5-older-running-shoe-mhfgMP/BQ5671-401
The Nike Polo,Men's Polo,2 Colours,"₹2,795","₹2,237",20%,https://www.nike.com/in/t/polo-polo-z5k6D4/AT6112-370
Nike,Men's Training Trousers,1 Colour,"₹2,495","₹1,997",20%,https://www.nike.com/in/t/training-trousers-T84sjx/CU4950-084
Nike Air Huarache Run DNA Ch. 1,Men's Shoe,1 Colour,"₹12,995","₹9,097",30%,https://www.nike.com/in/t/air-huarache-run-dna-ch-1-shoe-Hf8sK9/AR3864-101
Nike Challenger,Men's 18cm (approx.) Lined Running Shorts,1 Colour,"₹1,695","₹1,357",20%,https://www.nike.com/in/t/challenger-18cm-lined-running-shorts-5w9f1Z/AJ7688-493
Nike Free RN 5.0,Older Kids' Running Shoe,1 Colour,"₹6,495","₹5,197",20%,https://www.nike.com/in/t/free-rn-5-older-running-shoe-KsctWk/CJ2079-400
Nike,Women's Short-Sleeve Running Top,1 Colour,"₹1,995","₹1,597",20%,https://www.nike.com/in/t/short-sleeve-running-top-XlKD5D/CQ7875-010
Freak 1,Older Kids' Shoe,1 Colour,"₹7,495","₹5,247",30%,https://www.nike.com/in/t/freak-1-older-shoe-lDc71n/BQ5633-101
Nike Sportswear Windrunner,Men's Hooded Jacket,1 Colour,"₹5,495","₹4,397",20%,https://www.nike.com/in/t/sportswear-windrunner-hooded-jacket-MLgTq4/AR2192-010
Nike Dynamo Free,Baby and Toddler Shoe,1 Colour,"₹3,995","₹3,197",20%,https://www.nike.com/in/t/dynamo-free-and-shoe-axGgD7/343938-023
Nike Yoga,Men's Infinalon 3/4 Tights,1 Colour,"₹3,095","₹2,477",20%,https://www.nike.com/in/t/yoga-infinalon-3-4-tights-nVS0VT/CT1831-068
Nike Free RN 5.0 2020,Men's Running Shoe,1 Colour,"₹8,995","₹7,197",20%,https://www.nike.com/in/t/free-rn-5-2020-running-shoe-R1F4ML/CV9305-100
Nike Air,Women's Running Top,1 Colour,"₹2,295","₹1,607",30%,https://www.nike.com/in/t/air-running-top-7KDphV/CJ2065-010
Giannis Nike Dri-FIT,Men's Basketball T-Shirt,1 Colour,"₹1,695",₹847,50%,https://www.nike.com/in/t/giannis-dri-fit-basketball-t-shirt-j23T5l/BV8266-010
Nike Air Max 97,Men's Shoe,1 Colour,"₹15,995","₹12,797",20%,https://www.nike.com/in/t/air-max-97-shoe-nQGPPc/CT4525-001
Nike Air Max 90,Baby and Toddler Shoe,1 Colour,"₹4,995","₹3,997",20%,https://www.nike.com/in/t/air-max-90-and-shoe-w1xd13/CD6868-100
Jordan Legacy AJ11,Men's Short-Sleeve T-Shirt,1 Colour,"₹1,695","₹1,357",20%,https://www.nike.com/in/t/jordan-legacy-aj11-short-sleeve-t-shirt-dMkh0j/CW0858-010
Nike Air Force 1 LV8,Older Kids' Shoe,1 Colour,"₹6,495","₹5,197",20%,https://www.nike.com/in/t/air-force-1-lv8-older-shoe-zX8b4K/CJ4093-300
Brooklyn Nets Biggie,Nike NBA T-Shirt,1 Colour,"₹1,695","₹1,187",30%,https://www.nike.com/in/t/brooklyn-nets-biggie-nba-t-shirt-mfKsJ1/CW3969-657
Nike Flex Experience RN 8,Women's Running Shoe,1 Colour,"₹4,995","₹3,997",20%,https://www.nike.com/in/t/flex-experience-rn-8-running-shoe-Mtbm5W/AJ5908-005
Nike Sportswear NSW Collection,Women's Printed Shorts,1 Colour,"₹3,495","₹2,797",20%,https://www.nike.com/in/t/sportswear-nsw-collection-printed-shorts-chMVgX/CJ3483-735
Nike Zoom Pegasus Turbo 2 Special Edition,Women's Running Shoe,1 Colour,"₹15,995","₹9,597",40%,https://www.nike.com/in/t/zoom-pegasus-turbo-2-special-edition-running-shoe-tR3tf0/BV7757-500
Nike Joyride Nova,Younger/Older Kids' Shoe,1 Colour,"₹8,995","₹7,197",20%,https://www.nike.com/in/t/joyride-nova-younger-older-shoe-lqRXBm/AQ3141-400
Nike Air VaporMax Flyknit 3,Men's Shoe,1 Colour,"₹16,995","₹10,197",40%,https://www.nike.com/in/t/air-vapormax-flyknit-3-shoe-xr9cgR/AJ6900-012
Nike Phantom Vision 2 Club Dynamic Fit MG,Multi-Ground Football Boot,1 Colour,"₹5,995","₹4,797",20%,https://www.nike.com/in/t/phantom-vision-2-club-dynamic-fit-mg-multi-ground-football-boot-0r9fNX/CD4159-606
Nike React Element 55 SE,Men's Shoe,1 Colour,"₹10,995","₹5,497",50%,https://www.nike.com/in/t/react-element-55-se-shoe-Q7Wqvp/CI3831-200
Nike Sportswear Tech Fleece,Men's Shorts,1 Colour,"₹3,495","₹2,447",30%,https://www.nike.com/in/t/sportswear-tech-fleece-shorts-7QDSq5/928514-011
Nike Tiempo Legend 8 Academy TF,Artificial-Turf Football Shoe,1 Colour,"₹6,495","₹5,197",20%,https://www.nike.com/in/t/tiempo-legend-8-academy-tf-artificial-football-shoe-951TSW/AT6100-906
Nike Dri-FIT,Men's Woven Training Jacket,1 Colour,"₹3,495","₹2,797",20%,https://www.nike.com/in/t/dri-fit-woven-training-jacket-323Tk5/CU4954-084
Nike Impact,Women's Strappy Printed High-Support Sports Bra,1 Colour,"₹3,095","₹2,477",20%,https://www.nike.com/in/t/impact-strappy-printed-high-support-sports-bra-nwJVDJ/CK1947-073
Nike Air Max Tiny 90,Baby and Toddler Shoe,1 Colour,"₹4,495","₹3,147",30%,https://www.nike.com/in/t/air-max-tiny-90-and-shoe-O9wNRo/881924-021
Nike Air Max 95 SP,Shoe,1 Colour,"₹15,995","₹9,597",40%,https://www.nike.com/in/t/air-max-95-sp-shoe-d76X5V/CK5669-400
Nike Air VaporMax 360,Women's Shoe,1 Colour,"₹18,995","₹11,397",40%,https://www.nike.com/in/t/air-vapormax-360-shoe-h1FLhs/CK2719-400
Nike Flex,Men's Woven Training Shorts,1 Colour,"₹2,295","₹1,837",20%,https://www.nike.com/in/t/flex-woven-training-shorts-79lSdK/CD7677-492
Nike Air Max Tailwind IV SE,Men's Shoe,1 Colour,"₹14,995","₹10,497",30%,https://www.nike.com/in/t/air-max-tailwind-iv-se-shoe-vHzrtK/CJ0641-100
LeBron 17 Monstars,Basketball Shoe,1 Colour,"₹16,995","₹11,897",30%,https://www.nike.com/in/t/lebron-17-monstars-basketball-shoe-XShGJ1/CD5050-400
Nike Sportswear Tech Pack,Older Kids' (Boys') Packable Jacket,1 Colour,"₹3,895","₹3,117",20%,https://www.nike.com/in/t/sportswear-tech-pack-older-packable-jacket-nhPxZn/CK1335-100
Nike Multiplier,Crew Socks,1 Colour,₹995,₹797,20%,https://www.nike.com/in/t/multiplier-crew-socks-SM1cjF/CK5672-100
Nike Therma Sphere Icon Clash,Women's Long-Sleeve Running Top,1 Colour,"₹4,495","₹2,247",50%,https://www.nike.com/in/t/therma-sphere-icon-clash-long-sleeve-running-top-NGh7Fb/CJ8065-068
Nike Air Max Dia Winter,Women's Shoe,1 Colour,"₹10,995","₹5,497",50%,https://www.nike.com/in/t/air-max-dia-winter-shoe-CLbqnv/BQ9665-301
Nike Indy,Women's Light-Support Sports Bra,1 Colour,"₹2,795","₹1,677",40%,https://www.nike.com/in/t/indy-light-support-sports-bra-JZnj9r/AQ0141-275
Nike Sportswear JDI,Men's Floral T-Shirt,1 Colour,"₹1,495","₹1,047",30%,https://www.nike.com/in/t/sportswear-jdi-floral-t-shirt-VKn6fF/CK2296-100
Nike Air Max 97,Older Kids' Shoe,1 Colour,"₹12,995","₹10,397",20%,https://www.nike.com/in/t/air-max-97-older-shoe-M2vYej/921522-021
Nike Phantom Venom Academy FG,Firm-Ground Football Boot,1 Colour,"₹7,495","₹5,247",30%,https://www.nike.com/in/t/phantom-venom-academy-fg-football-boot-8K8CNP/AO0566-606
Nike Sportswear,Women's Shorts,1 Colour,"₹2,995","₹2,097",30%,https://www.nike.com/in/t/sportswear-shorts-xHHtHQ/CT4529-100
Air Max 97 LX,Women's Shoe,1 Colour,"₹15,995","₹12,797",20%,https://www.nike.com/in/t/air-max-97-lx-shoe-6V8gBm/CJ0625-700
Nike Air Max 2090,Men's Shoe,1 Colour,"₹11,995","₹8,397",30%,https://www.nike.com/in/t/air-max-2090-shoe-XBtRgw/CT7695-401
Nike Force 1 LV8,Younger Kids' Shoe,1 Colour,"₹4,995","₹3,997",20%,https://www.nike.com/in/t/force-1-lv8-younger-shoe-2W3gsN/CJ4118-100
NikeCourt Dri-FIT,"Men's 9"" (23cm approx.) Tennis Shorts",1 Colour,"₹2,095","₹1,677",20%,https://www.nike.com/in/t/nikecourt-dri-fit-9-tennis-shorts-C7SW7z/939266-011
Nike Blazer Mid '77 Vintage,Women's Shoe,1 Colour,"₹7,995","₹6,397",20%,https://www.nike.com/in/t/blazer-mid-77-vintage-shoe-pKBLXb/CZ1055-106
Nike Air Max Triax,Men's Shoe,1 Colour,"₹10,995","₹8,797",20%,https://www.nike.com/in/t/air-max-triax-shoe-7GbtPT/CT1104-700
